Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.8839,0.8134,0.917,0.8654,0.8628,0.9413,0.895,0.8668,0.8652
BalanceCascadeClassifier,0.866,0.8502,0.873,0.8502,0.8609,0.9417,0.8933,0.8436,0.8616
UnderBaggingClassifier,0.869,0.8788,0.8643,0.8557,0.8712,0.9393,0.8874,0.8475,0.8715
EasyEnsembleClassifier,0.8778,0.9074,0.8643,0.8664,0.8853,0.9339,0.87,0.8561,0.8858
RUSBoostClassifier,0.7975,0.7017,0.8427,0.7636,0.7598,0.8626,0.7463,0.7641,0.7722
BalancedRandomForestClassifier,0.8689,0.916,0.8469,0.8576,0.8805,0.9358,0.8848,0.8474,0.8814
AdaCostClassifier,0.8183,0.8874,0.7858,0.8056,0.8344,0.9056,0.8253,0.7987,0.8366
AdaUBoostClassifier,0.8302,0.7567,0.8643,0.8075,0.8085,0.8977,0.8183,0.8062,0.8105
AsymBoostClassifier,0.8333,0.7472,0.8732,0.8082,0.8055,0.8994,0.8189,0.8118,0.8102
CatBoostClassifier,0.869,0.7944,0.9039,0.849,0.8468,0.9285,0.8664,0.8504,0.8491
SMOTEBoostClassifier,0.8392,0.8126,0.8514,0.8209,0.8316,0.9125,0.8388,0.814,0.832
OverBaggingClassifier,0.8602,0.7671,0.9039,0.8373,0.8318,0.9303,0.8971,0.8408,0.8355
OverBoostClassifier,0.8451,0.8026,0.8644,0.8254,0.832,0.9046,0.8297,0.8202,0.8335
SMOTEBaggingClassifier,0.8661,0.7857,0.904,0.8451,0.8422,0.9272,0.8666,0.8466,0.8448
KmeansSMOTEBoostClassifier,0.8421,0.7753,0.8732,0.8191,0.8212,0.9015,0.8252,0.8159,0.8243
