Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.8732,0.7912,0.9139,0.8556,0.8502,0.9503,0.908,0.8592,0.8525
BalanceCascadeClassifier,0.8696,0.8214,0.8935,0.8542,0.8566,0.9466,0.9001,0.8513,0.8574
UnderBaggingClassifier,0.8648,0.8528,0.8708,0.8515,0.8616,0.9459,0.8968,0.8445,0.8618
EasyEnsembleClassifier,0.8458,0.8817,0.828,0.8345,0.8544,0.9391,0.8889,0.8258,0.8549
RUSBoostClassifier,0.8592,0.8576,0.86,0.8461,0.8587,0.9381,0.8753,0.8382,0.8588
BalancedRandomForestClassifier,0.8672,0.8974,0.8522,0.8566,0.8745,0.9534,0.9095,0.8474,0.8748
AdaCostClassifier,0.7808,0.9837,0.6802,0.7771,0.818,0.9469,0.8946,0.7962,0.832
AdaUBoostClassifier,0.8654,0.8697,0.8633,0.8531,0.8664,0.9479,0.9006,0.845,0.8665
AsymBoostClassifier,0.8736,0.8413,0.8896,0.8595,0.8651,0.9477,0.9024,0.8548,0.8655
CatBoostClassifier,0.8802,0.8045,0.9177,0.8638,0.8591,0.9537,0.9159,0.867,0.8611
SMOTEBoostClassifier,0.8678,0.8678,0.8678,0.8554,0.8677,0.9476,0.9017,0.8475,0.8678
OverBaggingClassifier,0.8694,0.7538,0.9267,0.8487,0.8357,0.9449,0.8964,0.8601,0.8403
OverBoostClassifier,0.8712,0.8745,0.8696,0.8592,0.8719,0.95,0.9066,0.8511,0.872
SMOTEBaggingClassifier,0.872,0.7828,0.9162,0.8537,0.8468,0.9451,0.8957,0.8587,0.8495
KmeansSMOTEBoostClassifier,0.873,0.8474,0.8857,0.8592,0.8661,0.9484,0.9043,0.854,0.8665
