Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9822,0.9585,0.9905,0.9767,0.9743,0.9976,0.993,0.9791,0.9745
BalanceCascadeClassifier,0.9728,0.9586,0.9777,0.9648,0.9681,0.9958,0.9871,0.9619,0.9681
UnderBaggingClassifier,0.9728,0.9678,0.9745,0.9651,0.9711,0.995,0.9824,0.9602,0.9711
EasyEnsembleClassifier,0.955,0.9722,0.9491,0.9433,0.9605,0.9872,0.9669,0.9298,0.9606
RUSBoostClassifier,0.942,0.9075,0.9539,0.9254,0.93,0.982,0.9526,0.9228,0.9307
BalancedRandomForestClassifier,0.9787,0.9862,0.9761,0.9729,0.9811,0.9986,0.9963,0.9661,0.9811
AdaCostClassifier,0.9183,0.9953,0.8917,0.9026,0.942,0.9926,0.9806,0.8813,0.9435
AdaUBoostClassifier,0.9763,0.9675,0.9793,0.9692,0.9733,0.9935,0.9862,0.9656,0.9734
AsymBoostClassifier,0.974,0.9538,0.9809,0.9661,0.9672,0.9937,0.9871,0.9652,0.9674
CatBoostClassifier,0.9799,0.9537,0.9889,0.9735,0.971,0.9983,0.9956,0.976,0.9713
SMOTEBoostClassifier,0.974,0.9675,0.9762,0.9664,0.9718,0.9896,0.9632,0.9614,0.9718
OverBaggingClassifier,0.9704,0.9356,0.9825,0.9612,0.9587,0.9965,0.9903,0.9641,0.9591
OverBoostClassifier,0.9799,0.9677,0.9841,0.9738,0.9758,0.9932,0.9875,0.972,0.9759
SMOTEBaggingClassifier,0.974,0.9539,0.9809,0.9661,0.9673,0.9939,0.9867,0.965,0.9674
KmeansSMOTEBoostClassifier,0.9728,0.9448,0.9825,0.9643,0.9634,0.9919,0.9829,0.9654,0.9637
