Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.5855,0.4065,0.6667,0.5327,0.5166,0.5724,0.392,0.5339,0.5366
BalanceCascadeClassifier,0.5971,0.3606,0.7048,0.5323,0.5026,0.5667,0.3893,0.5345,0.5327
UnderBaggingClassifier,0.6058,0.471,0.6666,0.5618,0.5562,0.5884,0.393,0.5632,0.5688
EasyEnsembleClassifier,0.6087,0.5364,0.6414,0.5765,0.5851,0.6158,0.4508,0.5788,0.5889
RUSBoostClassifier,0.5362,0.4558,0.5741,0.4966,0.4913,0.535,0.3408,0.5103,0.515
BalancedRandomForestClassifier,0.5942,0.5364,0.62,0.5632,0.5727,0.5811,0.3953,0.5695,0.5782
AdaCostClassifier,0.5739,0.4346,0.6367,0.5292,0.5217,0.5683,0.4057,0.5318,0.5357
AdaUBoostClassifier,0.5884,0.4342,0.658,0.5404,0.53,0.5673,0.4261,0.5419,0.5461
AsymBoostClassifier,0.6116,0.3251,0.7425,0.5324,0.4851,0.5579,0.4072,0.5357,0.5338
CatBoostClassifier,0.6725,0.1026,0.9321,0.4788,0.2972,0.6204,0.4409,0.5878,0.5173
SMOTEBoostClassifier,0.6029,0.4541,0.6707,0.5568,0.5488,0.5701,0.4023,0.5575,0.5624
OverBaggingClassifier,0.6493,0.2039,0.852,0.5188,0.4164,0.5705,0.3873,0.5502,0.5279
OverBoostClassifier,0.5739,0.4264,0.641,0.5266,0.5162,0.55,0.3862,0.5299,0.5337
SMOTEBaggingClassifier,0.6435,0.2593,0.8185,0.5351,0.4582,0.5804,0.3905,0.5509,0.5389
KmeansSMOTEBoostClassifier,0.6029,0.4442,0.6743,0.5554,0.5446,0.5896,0.4634,0.5594,0.5592
