Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9988,1.0,0.9988,0.9926,0.9994,1.0,1.0,0.9867,0.9994
BalanceCascadeClassifier,0.9786,1.0,0.9778,0.8847,0.9888,0.9988,0.9727,0.821,0.9889
UnderBaggingClassifier,0.9821,1.0,0.9814,0.9014,0.9906,0.9999,0.9957,0.8443,0.9907
EasyEnsembleClassifier,0.9809,1.0,0.9802,0.8957,0.99,0.9984,0.9549,0.8363,0.9901
RUSBoostClassifier,0.9774,0.9385,0.9789,0.8787,0.9558,0.9954,0.8686,0.845,0.9587
BalancedRandomForestClassifier,0.9601,1.0,0.9585,0.8185,0.979,0.9991,0.9691,0.7465,0.9793
AdaCostClassifier,0.9722,1.0,0.9711,0.8603,0.9854,0.9975,0.9428,0.7924,0.9856
AdaUBoostClassifier,0.9896,1.0,0.9892,0.938,0.9946,0.9987,0.9704,0.896,0.9946
AsymBoostClassifier,0.9919,0.9692,0.9928,0.9496,0.9808,0.9987,0.9719,0.9241,0.981
CatBoostClassifier,0.9994,1.0,0.9994,0.9961,0.9997,1.0,1.0,0.9929,0.9997
SMOTEBoostClassifier,0.9896,0.8769,0.994,0.9303,0.9331,0.9986,0.9676,0.9293,0.9355
OverBaggingClassifier,0.9988,0.9846,0.9994,0.992,0.9919,1.0,0.9989,0.9926,0.992
OverBoostClassifier,0.989,1.0,0.9886,0.9344,0.9943,0.9985,0.9656,0.8898,0.9943
KmeansSMOTEBoostClassifier,0.9879,0.8308,0.994,0.9146,0.906,0.9983,0.9612,0.9256,0.9124
