Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.8544,0.5946,0.9056,0.7423,0.7322,0.8429,0.6397,0.7395,0.7501
BalanceCascadeClassifier,0.8659,0.5906,0.9202,0.7549,0.7352,0.8375,0.6378,0.7583,0.7554
UnderBaggingClassifier,0.8363,0.7097,0.8613,0.7417,0.7795,0.8585,0.6433,0.7207,0.7855
EasyEnsembleClassifier,0.8363,0.7011,0.8629,0.7408,0.7759,0.8558,0.6416,0.7207,0.782
RUSBoostClassifier,0.7716,0.6238,0.8008,0.661,0.6949,0.7732,0.4771,0.6554,0.7123
BalancedRandomForestClassifier,0.8066,0.7339,0.821,0.715,0.7735,0.8617,0.6431,0.6955,0.7774
AdaCostClassifier,0.7285,0.775,0.7194,0.6496,0.7445,0.8395,0.5935,0.6483,0.7472
AdaUBoostClassifier,0.8066,0.7054,0.8266,0.7114,0.7623,0.83,0.6083,0.6915,0.766
AsymBoostClassifier,0.8632,0.5783,0.9194,0.7502,0.7282,0.8354,0.6174,0.7538,0.7488
CatBoostClassifier,0.8868,0.4882,0.9653,0.7593,0.6847,0.8727,0.6771,0.8203,0.7268
SMOTEBoostClassifier,0.8241,0.7013,0.8484,0.729,0.7702,0.8371,0.632,0.709,0.7748
OverBaggingClassifier,0.8834,0.4554,0.9677,0.746,0.6616,0.8506,0.6394,0.8216,0.7116
OverBoostClassifier,0.8053,0.6849,0.829,0.7064,0.7524,0.8314,0.6168,0.6866,0.7569
SMOTEBaggingClassifier,0.8814,0.4676,0.9629,0.7468,0.6694,0.8481,0.6316,0.8091,0.7153
KmeansSMOTEBoostClassifier,0.8423,0.5374,0.9024,0.7166,0.6942,0.8186,0.5136,0.7184,0.7199
