Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9574,0.8949,0.9768,0.9402,0.9346,0.9921,0.9751,0.9457,0.9358
BalanceCascadeClassifier,0.9527,0.9349,0.9582,0.936,0.9464,0.9898,0.9655,0.9268,0.9465
UnderBaggingClassifier,0.9479,0.9599,0.9442,0.931,0.9519,0.9889,0.9606,0.9146,0.9521
EasyEnsembleClassifier,0.9337,0.975,0.921,0.9147,0.9475,0.9879,0.9625,0.8927,0.948
RUSBoostClassifier,0.9089,0.8041,0.9411,0.8743,0.8688,0.962,0.8857,0.882,0.8726
BalancedRandomForestClassifier,0.9396,1.0,0.921,0.9231,0.9596,0.9896,0.9598,0.8995,0.9605
AdaCostClassifier,0.8663,0.995,0.8265,0.8462,0.904,0.9842,0.9507,0.8344,0.9108
AdaUBoostClassifier,0.9609,0.9597,0.9613,0.9478,0.9602,0.9805,0.955,0.9385,0.9605
AsymBoostClassifier,0.9609,0.9196,0.9737,0.9462,0.9459,0.9824,0.9575,0.9476,0.9466
CatBoostClassifier,0.9491,0.8747,0.9721,0.9286,0.9214,0.991,0.9718,0.9372,0.9234
SMOTEBoostClassifier,0.955,0.9146,0.9675,0.9384,0.9402,0.9827,0.9659,0.9384,0.941
OverBaggingClassifier,0.9491,0.8747,0.9721,0.9284,0.9219,0.9907,0.9692,0.9344,0.9234
OverBoostClassifier,0.9574,0.9399,0.9628,0.9422,0.9507,0.9836,0.971,0.9359,0.9513
SMOTEBaggingClassifier,0.9444,0.8596,0.9706,0.9215,0.9132,0.9893,0.9605,0.929,0.9151
KmeansSMOTEBoostClassifier,0.9657,0.9399,0.9737,0.9527,0.9563,0.982,0.9596,0.9497,0.9568
