Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.6551,0.3714,0.6871,0.4777,0.4891,0.5809,0.2162,0.5122,0.5293
BalanceCascadeClassifier,0.6754,0.4286,0.7032,0.5023,0.5361,0.6055,0.235,0.529,0.5659
UnderBaggingClassifier,0.7043,0.4286,0.7355,0.5224,0.5457,0.6118,0.2696,0.5373,0.582
EasyEnsembleClassifier,0.6696,0.4286,0.6968,0.4915,0.5097,0.571,0.1903,0.5222,0.5627
RUSBoostClassifier,0.6899,0.2571,0.7387,0.4796,0.4273,0.479,0.1336,0.5035,0.4979
BalancedRandomForestClassifier,0.5797,0.6,0.5774,0.4658,0.5781,0.5853,0.2376,0.5329,0.5887
AdaCostClassifier,0.7072,0.2,0.7645,0.47,0.3346,0.57,0.1382,0.4908,0.4823
AdaUBoostClassifier,0.7304,0.2286,0.7871,0.4888,0.3645,0.5804,0.1755,0.5012,0.5078
AsymBoostClassifier,0.8145,0.1143,0.8935,0.499,0.2424,0.5804,0.1704,0.4956,0.5039
CatBoostClassifier,0.8986,0.0,1.0,0.4733,0.0,0.4876,0.1281,0.4493,0.5
SMOTEBoostClassifier,0.6783,0.3429,0.7161,0.4859,0.4769,0.5889,0.1542,0.5116,0.5295
OverBaggingClassifier,0.8957,0.0571,0.9903,0.5223,0.1512,0.5929,0.2281,0.6515,0.5237
OverBoostClassifier,0.7536,0.2286,0.8129,0.5043,0.3731,0.5931,0.1739,0.5107,0.5207
SMOTEBaggingClassifier,0.8841,0.1143,0.971,0.5488,0.2548,0.6039,0.2381,0.5867,0.5426
KmeansSMOTEBoostClassifier,0.7971,0.2857,0.8548,0.5501,0.4855,0.5935,0.1659,0.5492,0.5703
