Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9313,0.6855,0.94,0.6827,0.7964,0.9324,0.4665,0.639,0.8127
BalanceCascadeClassifier,0.936,0.6855,0.9449,0.6942,0.8014,0.9152,0.4274,0.648,0.8152
UnderBaggingClassifier,0.845,0.8436,0.8451,0.5919,0.8406,0.9332,0.4003,0.5777,0.8444
EasyEnsembleClassifier,0.8807,0.7455,0.8855,0.617,0.807,0.9207,0.387,0.5896,0.8155
RUSBoostClassifier,0.7971,0.5109,0.8074,0.5158,0.633,0.7581,0.1449,0.5329,0.6591
BalancedRandomForestClassifier,0.8241,0.8218,0.8241,0.5713,0.8201,0.922,0.3734,0.5673,0.823
AdaCostClassifier,0.7197,0.98,0.7104,0.512,0.8342,0.921,0.2455,0.5533,0.8452
AdaUBoostClassifier,0.9117,0.5709,0.9239,0.6299,0.7241,0.8181,0.2985,0.5975,0.7474
AsymBoostClassifier,0.9549,0.4164,0.9742,0.6801,0.6263,0.8114,0.2884,0.6714,0.6953
CatBoostClassifier,0.969,0.2127,0.9958,0.6541,0.4454,0.9314,0.5071,0.853,0.6043
SMOTEBoostClassifier,0.9279,0.7073,0.9358,0.6832,0.8081,0.8675,0.3828,0.6382,0.8215
OverBaggingClassifier,0.9663,0.1564,0.9951,0.6069,0.3466,0.899,0.4331,0.7304,0.5757
OverBoostClassifier,0.9137,0.5909,0.9253,0.6367,0.7366,0.8118,0.303,0.6022,0.7581
SMOTEBaggingClassifier,0.969,0.2345,0.9951,0.6644,0.4752,0.925,0.4569,0.8317,0.6148
KmeansSMOTEBoostClassifier,0.9434,0.4945,0.9595,0.6683,0.6748,0.8361,0.3085,0.6407,0.727
