Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.8982,0.844,0.9248,0.8846,0.8833,0.9658,0.9265,0.8852,0.8844
BalanceCascadeClassifier,0.8962,0.884,0.9022,0.8848,0.8929,0.9632,0.9198,0.8789,0.8931
UnderBaggingClassifier,0.8924,0.9071,0.8852,0.8821,0.8959,0.9614,0.912,0.8734,0.8961
EasyEnsembleClassifier,0.8744,0.918,0.853,0.8646,0.8847,0.952,0.8902,0.8549,0.8855
RUSBoostClassifier,0.883,0.881,0.884,0.8712,0.8823,0.9528,0.8945,0.864,0.8825
BalancedRandomForestClassifier,0.8836,0.9399,0.856,0.8749,0.8968,0.9641,0.9161,0.8648,0.8979
AdaCostClassifier,0.8322,0.9872,0.756,0.8265,0.8639,0.9572,0.8998,0.8288,0.8716
AdaUBoostClassifier,0.8902,0.898,0.8864,0.8794,0.8921,0.9591,0.9072,0.8712,0.8922
AsymBoostClassifier,0.891,0.8634,0.9046,0.8784,0.8837,0.9572,0.9044,0.874,0.884
CatBoostClassifier,0.8976,0.8609,0.9156,0.8851,0.8878,0.9655,0.9282,0.8823,0.8883
SMOTEBoostClassifier,0.8848,0.878,0.8882,0.8729,0.8829,0.9581,0.9056,0.866,0.8831
OverBaggingClassifier,0.8912,0.8172,0.9275,0.8756,0.8703,0.9611,0.9146,0.8801,0.8724
OverBoostClassifier,0.8922,0.8913,0.8926,0.8811,0.8919,0.9596,0.9138,0.8736,0.892
SMOTEBaggingClassifier,0.8904,0.8379,0.9162,0.8762,0.8761,0.9614,0.9156,0.8758,0.877
KmeansSMOTEBoostClassifier,0.8878,0.8694,0.8968,0.8754,0.8829,0.9584,0.9118,0.8694,0.8831
