Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9947,0.8163,0.9976,0.9136,0.9006,0.9968,0.8606,0.9299,0.907
BalanceCascadeClassifier,0.9945,0.9418,0.9954,0.9221,0.9676,0.9835,0.8792,0.8871,0.9686
UnderBaggingClassifier,0.987,0.9765,0.9872,0.8535,0.9817,0.9858,0.8702,0.7833,0.9818
EasyEnsembleClassifier,0.9903,0.9765,0.9905,0.8819,0.9834,0.9943,0.9024,0.8188,0.9835
RUSBoostClassifier,0.9894,0.9301,0.9903,0.8694,0.9586,0.9783,0.826,0.8155,0.9602
BalancedRandomForestClassifier,0.9801,0.9765,0.9801,0.8084,0.9782,0.9904,0.8536,0.7359,0.9783
AdaCostClassifier,0.9574,0.9647,0.9573,0.7057,0.9608,0.9749,0.8477,0.6404,0.961
AdaUBoostClassifier,0.9949,0.9085,0.9963,0.9255,0.9509,0.9886,0.8694,0.9054,0.9524
AsymBoostClassifier,0.9954,0.8745,0.9974,0.9302,0.9334,0.9883,0.8871,0.9297,0.936
CatBoostClassifier,0.9958,0.8739,0.9978,0.9336,0.9332,0.9956,0.891,0.9331,0.9358
SMOTEBoostClassifier,0.9945,0.9307,0.9955,0.9222,0.9621,0.9875,0.8862,0.891,0.9631
OverBaggingClassifier,0.9951,0.8752,0.997,0.9246,0.9338,0.9752,0.8576,0.9147,0.9361
OverBoostClassifier,0.9947,0.9196,0.9959,0.9232,0.9565,0.9896,0.8884,0.8963,0.9578
SMOTEBaggingClassifier,0.9951,0.8641,0.9972,0.9236,0.9279,0.9869,0.889,0.9176,0.9306
