Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.687,0.35,0.7311,0.5048,0.4999,0.598,0.2052,0.5216,0.5406
BalanceCascadeClassifier,0.6725,0.35,0.7148,0.4969,0.4885,0.5674,0.1999,0.5168,0.5324
UnderBaggingClassifier,0.6638,0.35,0.7049,0.4921,0.4848,0.5869,0.1804,0.5157,0.5275
EasyEnsembleClassifier,0.658,0.45,0.6852,0.507,0.5528,0.6082,0.1688,0.5326,0.5676
RUSBoostClassifier,0.7159,0.25,0.777,0.4956,0.4248,0.5025,0.1571,0.5079,0.5135
BalancedRandomForestClassifier,0.6174,0.575,0.623,0.5007,0.5953,0.6502,0.2111,0.5439,0.599
AdaCostClassifier,0.658,0.45,0.6852,0.508,0.5527,0.5699,0.1631,0.5344,0.5676
AdaUBoostClassifier,0.7217,0.225,0.7869,0.4943,0.4094,0.5254,0.1526,0.5052,0.5059
AsymBoostClassifier,0.7971,0.075,0.8918,0.4857,0.1644,0.5213,0.1524,0.49,0.4834
CatBoostClassifier,0.8841,0.0,1.0,0.4692,0.0,0.6168,0.1775,0.442,0.5
SMOTEBoostClassifier,0.7188,0.475,0.7508,0.5548,0.5936,0.5973,0.1777,0.5619,0.6129
OverBaggingClassifier,0.8609,0.05,0.9672,0.5027,0.1403,0.5621,0.1879,0.5762,0.5086
OverBoostClassifier,0.7507,0.25,0.8164,0.5209,0.4449,0.557,0.183,0.5245,0.5332
SMOTEBaggingClassifier,0.8348,0.075,0.9344,0.5012,0.2044,0.5377,0.1827,0.5217,0.5047
KmeansSMOTEBoostClassifier,0.742,0.25,0.8066,0.5182,0.4351,0.5547,0.1887,0.554,0.5283
