Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.7588,0.6479,0.8038,0.7166,0.7207,0.8087,0.6199,0.712,0.7259
BalanceCascadeClassifier,0.7675,0.6176,0.8284,0.7203,0.7146,0.7998,0.6248,0.7197,0.723
UnderBaggingClassifier,0.7547,0.69,0.781,0.7191,0.7333,0.8127,0.6118,0.7128,0.7355
EasyEnsembleClassifier,0.7466,0.7179,0.7583,0.7151,0.7368,0.8134,0.6301,0.7093,0.7381
RUSBoostClassifier,0.6961,0.7109,0.69,0.6687,0.6991,0.7616,0.5413,0.6695,0.7005
BalancedRandomForestClassifier,0.7439,0.7341,0.7479,0.7146,0.7402,0.8118,0.6351,0.7087,0.741
AdaCostClassifier,0.7284,0.7295,0.728,0.6997,0.7269,0.8038,0.6084,0.6974,0.7287
AdaUBoostClassifier,0.7264,0.7272,0.7261,0.698,0.7254,0.8034,0.6181,0.6951,0.7266
AsymBoostClassifier,0.7615,0.6153,0.8209,0.7143,0.7099,0.8004,0.6098,0.713,0.7181
CatBoostClassifier,0.7769,0.4497,0.91,0.695,0.6385,0.8126,0.6361,0.738,0.6798
SMOTEBoostClassifier,0.7345,0.6946,0.7507,0.7005,0.7194,0.7932,0.5974,0.6972,0.7226
OverBaggingClassifier,0.7655,0.4544,0.8919,0.6859,0.6358,0.8065,0.6246,0.7181,0.6732
OverBoostClassifier,0.7176,0.6944,0.727,0.6859,0.7095,0.7923,0.5918,0.6821,0.7107
SMOTEBaggingClassifier,0.7729,0.5151,0.8777,0.7067,0.6721,0.8091,0.6188,0.7258,0.6964
KmeansSMOTEBoostClassifier,0.7217,0.592,0.7744,0.6746,0.6759,0.7506,0.5251,0.6709,0.6832
