Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9984,0.9267,0.9987,0.9253,0.9608,0.9997,0.9398,0.8965,0.9627
BalanceCascadeClassifier,0.9963,1.0,0.9963,0.8685,0.9982,0.9993,0.8679,0.7951,0.9982
UnderBaggingClassifier,0.9644,1.0,0.9642,0.6058,0.9819,0.9987,0.7338,0.5652,0.9821
EasyEnsembleClassifier,0.9691,1.0,0.969,0.6204,0.9844,0.9985,0.7454,0.574,0.9845
RUSBoostClassifier,0.9803,1.0,0.9802,0.6682,0.99,0.9951,0.4452,0.6051,0.9901
BalancedRandomForestClassifier,0.9684,1.0,0.9682,0.6153,0.984,0.9993,0.8652,0.5705,0.9841
AdaCostClassifier,0.9614,0.9267,0.9616,0.7075,0.9426,0.9861,0.6694,0.6642,0.9441
AdaUBoostClassifier,0.9976,0.68,0.9993,0.8715,0.8234,0.9974,0.8338,0.9142,0.8396
AsymBoostClassifier,0.998,0.72,0.9994,0.8898,0.8446,0.9962,0.7974,0.9376,0.8597
CatBoostClassifier,0.9984,0.86,0.9991,0.9189,0.9243,0.9995,0.9319,0.912,0.9295
SMOTEBoostClassifier,0.9976,0.86,0.9983,0.8917,0.924,0.9989,0.8682,0.8686,0.9292
OverBaggingClassifier,0.9978,0.8,0.9989,0.8898,0.8868,0.9826,0.8487,0.8925,0.8994
OverBoostClassifier,0.9976,0.76,0.9989,0.8812,0.8683,0.9971,0.8209,0.8894,0.8794
SMOTEBaggingClassifier,0.9974,0.76,0.9987,0.8733,0.8656,0.9825,0.8144,0.8875,0.8794
KmeansSMOTEBoostClassifier,0.9973,0.6867,0.9989,0.8563,0.8225,0.9979,0.8068,0.8892,0.8428
