Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9434,0.7364,0.969,0.855,0.8445,0.9737,0.8249,0.8579,0.8527
BalanceCascadeClassifier,0.9501,0.8775,0.9591,0.884,0.9171,0.9701,0.8315,0.859,0.9183
UnderBaggingClassifier,0.9367,0.9324,0.9372,0.8652,0.9344,0.9718,0.8177,0.8242,0.9348
EasyEnsembleClassifier,0.9347,0.9201,0.9364,0.8599,0.9277,0.9788,0.8465,0.8194,0.9282
RUSBoostClassifier,0.9151,0.7964,0.9296,0.8109,0.8578,0.9435,0.6991,0.7801,0.863
BalancedRandomForestClassifier,0.9319,0.9447,0.9304,0.8572,0.9374,0.9736,0.838,0.8105,0.9375
AdaCostClassifier,0.8976,0.9449,0.8918,0.808,0.9178,0.9673,0.7392,0.7626,0.9183
AdaUBoostClassifier,0.9367,0.8775,0.944,0.8595,0.9098,0.964,0.7362,0.8263,0.9107
AsymBoostClassifier,0.9461,0.8284,0.9606,0.8709,0.8917,0.9634,0.7494,0.8528,0.8945
CatBoostClassifier,0.9528,0.7487,0.9781,0.8753,0.8551,0.9743,0.8459,0.8905,0.8634
SMOTEBoostClassifier,0.938,0.8589,0.9478,0.8597,0.9015,0.9679,0.7682,0.8319,0.9033
OverBaggingClassifier,0.9501,0.7364,0.9765,0.869,0.848,0.9626,0.8018,0.8841,0.8564
OverBoostClassifier,0.9326,0.8839,0.9387,0.8543,0.9105,0.9624,0.7272,0.8198,0.9113
SMOTEBaggingClassifier,0.9488,0.7608,0.972,0.8691,0.8598,0.9653,0.8131,0.874,0.8664
KmeansSMOTEBoostClassifier,0.938,0.7862,0.9569,0.8506,0.8662,0.9607,0.7502,0.8352,0.8715
