Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.989,0.8877,0.9955,0.9506,0.94,0.9916,0.9359,0.9609,0.9416
BalanceCascadeClassifier,0.9874,0.9271,0.9913,0.946,0.9584,0.9903,0.9321,0.9353,0.9592
UnderBaggingClassifier,0.9783,0.9606,0.9794,0.9158,0.9698,0.9918,0.9158,0.8764,0.97
EasyEnsembleClassifier,0.9677,0.9666,0.9677,0.8831,0.967,0.9888,0.9295,0.8299,0.9672
RUSBoostClassifier,0.9527,0.8965,0.9563,0.8375,0.9257,0.9722,0.8407,0.7864,0.9264
BalancedRandomForestClassifier,0.9719,0.9697,0.972,0.8963,0.9707,0.9917,0.9282,0.8469,0.9708
AdaCostClassifier,0.8381,0.9879,0.8285,0.6646,0.9047,0.9828,0.8471,0.6342,0.9082
AdaUBoostClassifier,0.9744,0.9514,0.9759,0.9026,0.9633,0.9816,0.927,0.8604,0.9636
AsymBoostClassifier,0.9857,0.9149,0.9903,0.9394,0.9517,0.9811,0.9309,0.9289,0.9526
CatBoostClassifier,0.9879,0.8816,0.9948,0.9457,0.9363,0.993,0.9472,0.9546,0.9382
SMOTEBoostClassifier,0.979,0.9392,0.9815,0.9165,0.96,0.9851,0.9342,0.8831,0.9604
OverBaggingClassifier,0.9881,0.8726,0.9955,0.9459,0.9317,0.986,0.9175,0.9597,0.9341
OverBoostClassifier,0.9777,0.9423,0.98,0.912,0.9608,0.9822,0.9253,0.8746,0.9611
SMOTEBaggingClassifier,0.9883,0.8877,0.9948,0.9475,0.9395,0.9847,0.9228,0.9553,0.9412
