Model,F1-macro,AUC,AUPR,Gmean
EasyEnsembleClassifier,0.8526 ± 0.0125,0.9836 ± 0.0081,0.8827 ± 0.0238,0.8773 ± 0.0027
BalanceCascadeClassifier,0.8734 ± 0.0203,0.9786 ± 0.0102,0.8114 ± 0.0757,0.8818 ± 0.0044
UnderBagging,0.8584 ± 0.0202,0.9800 ± 0.0136,0.8565 ± 0.0852,0.8876 ± 0.0308
RUSBoost,0.8244 ± 0.0309,0.9786 ± 0.0096,0.8245 ± 0.0633,0.8402 ± 0.0533
SelfPacedEnsemble,0.8528 ± 0.0492,0.9772 ± 0.0093,0.7976 ± 0.0693,0.8466 ± 0.0574
BalancedRandomForest,0.8797 ± 0.0342,0.9856 ± 0.0027,0.8890 ± 0.0139,0.9375 ± 0.0519
