Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9797,0.9454,0.9896,0.9706,0.9672,0.9977,0.9924,0.9739,0.9675
BalanceCascadeClassifier,0.9653,0.9739,0.9628,0.9516,0.9683,0.9925,0.9663,0.9376,0.9684
UnderBaggingClassifier,0.9601,0.9896,0.9516,0.9453,0.9704,0.9968,0.9873,0.9256,0.9706
EasyEnsembleClassifier,0.7876,0.9948,0.7284,0.7592,0.8509,0.898,0.6194,0.7558,0.8616
RUSBoostClassifier,0.7882,0.974,0.7351,0.758,0.8459,0.8848,0.5996,0.7522,0.8546
BalancedRandomForestClassifier,0.8605,1.0,0.8207,0.8316,0.9058,0.9856,0.9383,0.8079,0.9103
AdaCostClassifier,0.831,0.9844,0.7872,0.8004,0.88,0.8985,0.5646,0.783,0.8858
AdaUBoostClassifier,0.7934,0.9948,0.7359,0.7648,0.8552,0.8983,0.6229,0.7596,0.8653
AsymBoostClassifier,0.8206,0.9011,0.7976,0.7823,0.8471,0.8985,0.6186,0.7644,0.8494
CatBoostClassifier,0.9774,0.9609,0.9821,0.9676,0.9714,0.9973,0.991,0.964,0.9715
SMOTEBoostClassifier,0.8102,0.9219,0.7783,0.774,0.8461,0.8992,0.6313,0.7593,0.8501
OverBaggingClassifier,0.9745,0.9453,0.9829,0.9632,0.9638,0.997,0.9888,0.9628,0.9641
OverBoostClassifier,0.7946,0.9948,0.7374,0.7658,0.8561,0.8985,0.6225,0.7601,0.8661
KmeansSMOTEBoostClassifier,0.8027,0.8752,0.782,0.7623,0.8266,0.8941,0.6224,0.7472,0.8286
