Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.7917,0.6733,0.8329,0.7393,0.7473,0.8697,0.6633,0.732,0.7531
BalanceCascadeClassifier,0.8,0.6682,0.8456,0.7471,0.7511,0.8584,0.6215,0.7404,0.7569
UnderBaggingClassifier,0.7893,0.7741,0.7947,0.751,0.7831,0.8583,0.6198,0.7401,0.7844
EasyEnsembleClassifier,0.7479,0.691,0.7675,0.7013,0.7265,0.825,0.6246,0.6941,0.7292
RUSBoostClassifier,0.6923,0.5663,0.7358,0.6337,0.6445,0.7138,0.4713,0.6304,0.651
BalancedRandomForestClassifier,0.7692,0.7971,0.7595,0.7348,0.7773,0.8603,0.6166,0.7257,0.7783
AdaCostClassifier,0.6864,0.8755,0.6211,0.6675,0.7361,0.8224,0.629,0.6909,0.7483
AdaUBoostClassifier,0.7609,0.6636,0.7947,0.7088,0.7241,0.8287,0.6481,0.7014,0.7291
AsymBoostClassifier,0.7905,0.5942,0.8582,0.7258,0.7135,0.8472,0.6597,0.7267,0.7262
CatBoostClassifier,0.7917,0.4055,0.9252,0.6838,0.6116,0.8587,0.6574,0.7367,0.6653
SMOTEBoostClassifier,0.7645,0.645,0.8057,0.7097,0.7202,0.8272,0.6293,0.7012,0.7254
OverBaggingClassifier,0.7917,0.4609,0.906,0.6982,0.6447,0.8622,0.6441,0.7291,0.6835
OverBoostClassifier,0.7692,0.686,0.7978,0.7204,0.7388,0.8326,0.6375,0.7111,0.7419
SMOTEBaggingClassifier,0.7929,0.5252,0.8853,0.7139,0.6802,0.8653,0.6337,0.7281,0.7053
KmeansSMOTEBoostClassifier,0.787,0.5433,0.8711,0.713,0.6874,0.8304,0.6464,0.7212,0.7072
