Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.7848,0.4828,0.8039,0.5432,0.6224,0.7217,0.1419,0.5479,0.6434
BalanceCascadeClassifier,0.822,0.3431,0.8524,0.5435,0.5402,0.6571,0.1219,0.541,0.5977
UnderBaggingClassifier,0.774,0.5153,0.7904,0.5409,0.6376,0.7344,0.1521,0.5487,0.6529
EasyEnsembleClassifier,0.7031,0.6689,0.7053,0.5145,0.6866,0.7511,0.1804,0.5485,0.6871
RUSBoostClassifier,0.6778,0.6365,0.6804,0.4949,0.658,0.7185,0.1511,0.5398,0.6584
BalancedRandomForestClassifier,0.6901,0.6553,0.6923,0.5047,0.6732,0.7301,0.1559,0.5443,0.6738
AdaCostClassifier,0.8365,0.408,0.8637,0.5682,0.5888,0.7431,0.1646,0.5598,0.6359
AdaUBoostClassifier,0.7135,0.6433,0.718,0.5181,0.6791,0.7352,0.161,0.5479,0.6806
AsymBoostClassifier,0.9032,0.2167,0.9467,0.5798,0.4528,0.7319,0.1556,0.5782,0.5817
