Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9766,0.8,0.985,0.8878,0.8753,0.9509,0.8429,0.9302,0.8925
BalanceCascadeClassifier,0.9626,0.9,0.9652,0.8565,0.9246,0.9792,0.8167,0.8175,0.9326
UnderBaggingClassifier,0.9203,0.8333,0.9254,0.7667,0.8702,0.9577,0.7376,0.7443,0.8793
EasyEnsembleClassifier,0.9391,0.8333,0.9454,0.7955,0.8791,0.9601,0.7587,0.7699,0.8893
RUSBoostClassifier,0.9578,0.7333,0.9701,0.8253,0.8332,0.9002,0.7067,0.8259,0.8517
BalancedRandomForestClassifier,0.9155,0.9,0.9154,0.7757,0.9024,0.9735,0.7556,0.7371,0.9077
AdaCostClassifier,0.4743,0.7333,0.4532,0.4037,0.518,0.785,0.6749,0.6166,0.5933
AdaUBoostClassifier,0.972,0.6,0.995,0.8426,0.7596,0.8518,0.7136,0.9546,0.7975
AsymBoostClassifier,0.9627,0.4667,0.995,0.7902,0.675,0.8555,0.6927,0.9498,0.7308
CatBoostClassifier,0.9627,0.4333,0.995,0.7227,0.5022,0.9843,0.8233,0.7585,0.7142
SMOTEBoostClassifier,0.9487,0.6,0.9702,0.7872,0.761,0.8893,0.6548,0.8208,0.7851
OverBaggingClassifier,0.9673,0.6,0.99,0.8271,0.757,0.9821,0.9056,0.9296,0.795
OverBoostClassifier,0.958,0.5333,0.9851,0.7922,0.7197,0.842,0.6718,0.852,0.7592
SMOTEBaggingClassifier,0.9627,0.6,0.985,0.8162,0.755,0.9817,0.8956,0.9129,0.7925
KmeansSMOTEBoostClassifier,0.9673,0.6667,0.9851,0.8404,0.8031,0.8489,0.7402,0.8818,0.8259
,0.9766,0.7333,0.99,0.8795,0.8416,0.8635,0.7344,0.9343,0.8617
