Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.8224,0.6958,0.8915,0.799,0.7841,0.8652,0.8155,0.8163,0.7937
BalanceCascadeClassifier,0.8128,0.7342,0.8553,0.7915,0.7857,0.8713,0.8175,0.8013,0.7947
UnderBaggingClassifier,0.8037,0.7625,0.8262,0.7893,0.7912,0.8672,0.8148,0.7928,0.7943
EasyEnsembleClassifier,0.7522,0.6983,0.7825,0.7336,0.7365,0.7962,0.7196,0.7331,0.7404
RUSBoostClassifier,0.6965,0.6442,0.7254,0.6758,0.6775,0.7292,0.632,0.6839,0.6848
BalancedRandomForestClassifier,0.827,0.7633,0.8624,0.8109,0.8085,0.8849,0.8208,0.817,0.8129
AdaCostClassifier,0.6958,0.8542,0.6079,0.693,0.7201,0.798,0.6956,0.7152,0.7311
AdaUBoostClassifier,0.7616,0.735,0.7751,0.7457,0.7521,0.7869,0.6751,0.7453,0.7551
AsymBoostClassifier,0.7475,0.6708,0.7886,0.7272,0.7251,0.7778,0.6953,0.7303,0.7297
CatBoostClassifier,0.8127,0.6058,0.928,0.7757,0.7417,0.8811,0.8255,0.8211,0.7669
SMOTEBoostClassifier,0.7708,0.7233,0.7968,0.7534,0.7562,0.7797,0.7233,0.754,0.7601
OverBaggingClassifier,0.8039,0.6708,0.8772,0.7809,0.7658,0.8441,0.7826,0.7964,0.774
OverBoostClassifier,0.7567,0.6958,0.7894,0.7378,0.7398,0.7793,0.6709,0.7359,0.7426
SMOTEBaggingClassifier,0.8317,0.71,0.8984,0.8108,0.7954,0.8636,0.8262,0.8313,0.8042
KmeansSMOTEBoostClassifier,0.7473,0.7358,0.7529,0.7326,0.7418,0.7904,0.7106,0.7312,0.7444
