Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.8689,0.8286,0.8887,0.8532,0.8567,0.9317,0.8675,0.8531,0.8586
BalanceCascadeClassifier,0.869,0.8429,0.8818,0.8541,0.8595,0.9276,0.8624,0.8563,0.8623
UnderBaggingClassifier,0.8411,0.8,0.8613,0.823,0.8279,0.9243,0.8681,0.8236,0.8307
EasyEnsembleClassifier,0.7942,0.7714,0.8059,0.774,0.785,0.8851,0.7895,0.7721,0.7887
RUSBoostClassifier,0.7522,0.6429,0.8062,0.7157,0.7092,0.8028,0.6762,0.7236,0.7245
BalancedRandomForestClassifier,0.8505,0.9143,0.8195,0.84,0.8634,0.9324,0.8807,0.8364,0.8669
AdaCostClassifier,0.7567,0.8286,0.7224,0.7425,0.7679,0.8446,0.7399,0.7489,0.7755
AdaUBoostClassifier,0.813,0.7286,0.8542,0.7885,0.7874,0.8801,0.7955,0.7893,0.7914
AsymBoostClassifier,0.8598,0.7857,0.8958,0.8401,0.8379,0.9025,0.8219,0.841,0.8408
CatBoostClassifier,0.869,0.8,0.9027,0.8511,0.8491,0.936,0.8952,0.8528,0.8514
SMOTEBoostClassifier,0.8132,0.7714,0.834,0.793,0.7983,0.861,0.7614,0.7969,0.8027
OverBaggingClassifier,0.869,0.7714,0.9165,0.8483,0.8389,0.9106,0.8434,0.8592,0.844
OverBoostClassifier,0.8506,0.7857,0.882,0.8296,0.8281,0.8782,0.7613,0.8359,0.8339
SMOTEBaggingClassifier,0.8829,0.7857,0.9303,0.8645,0.8531,0.9303,0.8619,0.8794,0.858
KmeansSMOTEBoostClassifier,0.8316,0.7571,0.8682,0.8085,0.8071,0.8685,0.7329,0.8125,0.8127
,0.8319,0.7571,0.8685,0.81,0.8087,0.8674,0.7498,0.8146,0.8128
