Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9944,0.9923,1.0,0.9933,0.9961,1.0,1.0,0.9909,0.9962
BalanceCascadeClassifier,0.9833,0.9846,0.98,0.9798,0.9819,0.9992,0.9997,0.9796,0.9823
UnderBaggingClassifier,0.9722,0.9692,0.98,0.9663,0.9743,0.9992,0.9997,0.9604,0.9746
EasyEnsembleClassifier,0.9611,0.9615,0.96,0.9524,0.9597,0.9977,0.9992,0.9481,0.9608
RUSBoostClassifier,0.9944,0.9923,1.0,0.9933,0.9961,0.9985,0.9995,0.9909,0.9962
BalancedRandomForestClassifier,0.9778,0.9692,1.0,0.9735,0.9844,1.0,1.0,0.9652,0.9846
AdaCostClassifier,0.9832,0.9846,0.98,0.9789,0.982,0.9927,0.9949,0.9772,0.9823
AdaUBoostClassifier,0.9833,0.9846,0.98,0.9794,0.982,0.99,0.9936,0.9781,0.9823
AsymBoostClassifier,0.9889,0.9923,0.98,0.9861,0.9859,0.9927,0.9952,0.9872,0.9862
CatBoostClassifier,0.9944,0.9923,1.0,0.9933,0.9961,1.0,1.0,0.9909,0.9962
SMOTEBoostClassifier,0.9776,0.9769,0.98,0.9722,0.9781,0.9927,0.9952,0.9681,0.9785
OverBaggingClassifier,0.9889,0.9923,0.98,0.9861,0.9859,0.9985,0.9994,0.9872,0.9862
OverBoostClassifier,0.9833,0.9846,0.98,0.9794,0.982,0.99,0.9936,0.9781,0.9823
SMOTEBaggingClassifier,0.9833,0.9846,0.98,0.9794,0.982,0.9981,0.9992,0.9781,0.9823
KmeansSMOTEBoostClassifier,0.9833,0.9846,0.98,0.9794,0.982,0.9935,0.9954,0.9781,0.9823
