Model,acc,sen,spe,f1_macro,gmean,auc,aupr,precision,recall
SelfPacedEnsembleClassifier,0.9579,0.8333,0.9784,0.9055,0.8967,0.9757,0.9126,0.9167,0.9059
BalanceCascadeClassifier,0.9719,0.9,0.9838,0.9403,0.9398,0.9779,0.9433,0.9468,0.9419
UnderBaggingClassifier,0.9626,0.9,0.973,0.9236,0.9348,0.9509,0.9204,0.9181,0.9365
EasyEnsembleClassifier,0.9672,0.9,0.9784,0.9313,0.937,0.9694,0.9361,0.9325,0.9392
RUSBoostClassifier,0.9534,0.9,0.9622,0.9104,0.9299,0.9676,0.9054,0.8972,0.9311
BalancedRandomForestClassifier,0.9533,0.9333,0.9568,0.9085,0.9437,0.968,0.945,0.8851,0.945
AdaCostClassifier,0.8643,0.9333,0.8541,0.7997,0.8873,0.9151,0.681,0.7891,0.8937
AdaUBoostClassifier,0.9673,0.7933,0.9946,0.9205,0.883,0.9613,0.9031,0.9679,0.894
AsymBoostClassifier,0.9627,0.76,0.9946,0.9101,0.8655,0.964,0.9189,0.9652,0.8773
CatBoostClassifier,0.9627,0.8,0.9892,0.9121,0.8839,0.9757,0.9499,0.9512,0.8946
SMOTEBoostClassifier,0.9627,0.76,0.9946,0.9101,0.8655,0.9521,0.8507,0.9652,0.8773
OverBaggingClassifier,0.9626,0.8333,0.9838,0.9135,0.8986,0.9351,0.8806,0.9419,0.9086
OverBoostClassifier,0.9534,0.8267,0.973,0.9066,0.8958,0.9355,0.8191,0.9197,0.8998
SMOTEBaggingClassifier,0.9626,0.8333,0.9838,0.9135,0.8986,0.9527,0.9123,0.9419,0.9086
KmeansSMOTEBoostClassifier,0.9626,0.7933,0.9892,0.9103,0.8805,0.9459,0.8771,0.9478,0.8913
,0.9627,0.76,0.9946,0.9125,0.8681,0.9663,0.9121,0.9651,0.8773
